idx	ATU	SUB	Classifications	Category	Subcategory	Variation Example
211	163	-	The Singing Wolf	Animal Tales (1-299)	150-199 Wild Animals & Humans	By his singing (threats or compliments) the wolf compels an old man to surrender his cattle, his children & grandchildren, & finally his wife. In the end the wolf eats the man.
212	165	-	"Fish, Not Flesh"	Animal Tales (1-299)	150-199 Wild Animals & Humans	The wolf promises to give up eating flesh. When he finds a pig in a puddle, he says, “It’s fish, not flesh”, & eats it up. Or, the wolf promises to give up killing animals & wants to be a saint. On his way to the desert he wrings the neck of a gander. He excuses himself, saying: “He should not have hissed at a saint”.
213	165	B*	The Wolf is Punished by being Married	Animal Tales (1-299)	150-199 Wild Animals & Humans	The wolf is condemned to the most severe punishment. He is forced to get married. In some variants the wolf must take two wives.
214	166	A*	The Wolf Puts his Tail through the Window	Animal Tales (1-299)	150-199 Wild Animals & Humans	The Wolf Puts His Tail through the Window of the stable & alarms the sheep. The farmer snatches at the tail & tears it off.
215	166	B*	The Wolf tries to Get Horses	Animal Tales (1-299)	150-199 Wild Animals & Humans	In the night a wolf comes near the horses. He plunges into the river & then shakes near the fire to exstinguish it or he wallows in the mud to splash it into the eyes of the horses. A sleeping driver awakes, seizes the wolf’s tail & tears it off.
216	168	-	The Musician in the Wolf Trap	Animal Tales (1-299)	150-199 Wild Animals & Humans	A violinist falls into a wolf’s hole (sometimes together with a bear). There he encounters a wolf already trapped, & saves himself by playing music until someone (sometimes the bear) helps him out of the hole. The wolf is killed.
217	168	A	The Old Woman & the Wolf Fall into the Pit Together	Animal Tales (1-299)	150-199 Wild Animals & Humans	The old woman urges the wolf & other animals to sit still. She is rescued by a hunter who either kills the animals or saves them.
218	169	*	Misc. Tales of Wolves & Men	Animal Tales (1-299)	150-199 Wild Animals & Humans	Three main themes can be distinguished: (1) Tales of wolves that do not attack the people they meet. (2) Tales of wolves that harm or want to harm people. (3) Tales of wolves that are punished by people.
219	169	K	The Man Drives with a Tub & Little Pigs	Animal Tales (1-299)	150-199 Wild Animals & Humans	Wolves attack a man. He pulls a tub over himself & the little pigs. The wolves put their paws under the tub & the man splits them with a knife.
220	170	-	The fox eats his fellow-lodger	Animal Tales (1-299)	150-199 Wild Animals & Humans	A fox who has a shoe spends the night in a house with a rooster. The fox destroys the shoe & blames the rooster, which he demands as reparation. The next night, in another house, the fox eats the rooster, & in the morning he accuses a sheep of having eaten it. He demands the sheep. In the next house he blames the ox for having eaten the sheep, etc.
221	171	A*	The Bear Plays with the Boar's Young	Animal Tales (1-299)	150-199 Wild Animals & Humans	A boar pursues him. The bear climbs up a tree, but the branch breaks & the bear falls down on the boar. They fight each other & the bear is killed.
222	173	-	Human & Animal Life Spans are Readjusted	Animal Tales (1-299)	150-199 Wild Animals & Humans	God (Zeus) originally gives 30 years to all animals & humans. Donkey, dog & monkey refuse some of their years because of their sufferings. Man wants to have more years & takes them from the animals. Therefore in the middle of their lives people must do the hard work of a donkey, then they bark like old dogs, & at last they are foolish like monkeys.
223	175	-	The Tarbaby & the Rabbit	Animal Tales (1-299)	150-199 Wild Animals & Humans	A cunning rabbit (hare, fox, jackal) steals fruit from a garden (field). A figure spread with tar, wax or glue is set out to trap the thief. The rabbit tries to make the tarbaby talk & finally becomes so angry that he strikes it. He sticks to the tarbaby & is captured. The rabbit is punished.
224	177	-	The Thief & the Tiger	Animal Tales (1-299)	150-199 Wild Animals & Humans	A tiger overhears a person saying that he fears something worse than the tiger. The word is unknown to the tiger (dripping of rain, sweet, twilight). Thinking it must be a terrible thing, the tiger hides (sometimes among sheep) & is found by a drunken man (thief) who mistakes him for his horse. He rides off on the tiger (steals it because it seems to be a very big sheep). The tiger thinks the man must be the terrible thing he has heard about & meekly submits. In the morning the man sees his mistake & flees.
225	178	-	The Faithful Animal Rashly Killed	Animal Tales (1-299)	150-199 Wild Animals & Humans	The Faithful Animal Rashly Killed
226	178	A	Innocent Dog	Animal Tales (1-299)	150-199 Wild Animals & Humans	A dog (cat, mouse) saves his master’s child from a snake. When the master sees the dog’s bloody mouth, he thinks the dog has eaten the child & kills it. Later on he finds the dead snake & realizes his mistake.
227	178	B	The Faithful Dog as Security for a Debt	Animal Tales (1-299)	150-199 Wild Animals & Humans	A poor man leaves his dog with a wealthy man as security for a large loan. The dog helps the wealthy man by retrieving stolen goods & driving off thieves. The grateful man sends the dog back to its owner with a letter saying the debt is cancelled. The owner, thinking the dog has run away, kills it before he finds the letter.
228	178	C	The Thirsty King Kills HIs Faithful Falcon	Animal Tales (1-299)	150-199 Wild Animals & Humans	A king who is out hunting is about to drink a cup of water. His falcon (horse) knocks the cup from his hand. The enraged king kills the falcon. Then he finds out that the cup was full of poison from a snake.
229	179	-	What the bear whispered in his ear	Animal Tales (1-299)	150-199 Wild Animals & Humans	A traveler & his guide (two friends) go through a forest in which they meet a dangerous bear. The guide climbs a tree & leaves the traveler at the mercy of the bear. The traveler feigns death & the bear sniffs at him & leaves.
230	179	*	Tales about Men & Bears	Animal Tales (1-299)	150-199 Wild Animals & Humans	This misc. type consists of various tales in which the bear is generally hurt (killed).
231	179	A*	The Bear Pursues Men	Animal Tales (1-299)	150-199 Wild Animals & Humans	A bear pursues a man who hides in a bush. When the bear puts his paws around the bush, the man rips open the bear’s belly.
232	179	A**	Man & Bear Hold Each Other Around a Tree	Animal Tales (1-299)	150-199 Wild Animals & Humans	A man & a bear take hold of each other around a tree & will not let go. Another man hurries home for help, but does not come back for a long time. When he comes at last, his comrade, who is holding the bear’s paws, makes him to take his place & goes away. He also stays away for a long time, to take revenge for his friend’s thoughtlessness.
233	179	B*	An Old Man Carrying a Kneading Trough	Animal Tales (1-299)	150-199 Wild Animals & Humans	A man goes through the forest, lies down to rest, & draws a trough over himself. A hare, a wolf, a fox, & a bear come & admire the fine little table. All of them bring something to eat: a cabbage, a lamb, a goose, some honey. Then the man under the table moves, the animals run away & the man gets all their food.
234	180	-	The Rebounding Bow	Animal Tales (1-299)	150-199 Wild Animals & Humans	A hunter who has killed several animals is bitten by a snake. A jackal comes by & nibbles at the hunter’s bowstring. He is killed when the bow rebounds.
235	181	-	The Man Tells the Leopard's Secret	Animal Tales (1-299)	150-199 Wild Animals & Humans	A lizard & leopard (tiger) play hide & seek. The lizard fastens himself (a crab) onto the leopard’s tail or coats himself with mud so that the leopard cannot grab him. A man witnesses their contest. The leopard is ashamed & threatens him unless he maintains silence. The man betrays the secret & the leopard carries him off. The man escapes by making a noise so that the leopard thinks that the lizard is coming, or by saying he has eggs from which lizards will soon hatch.
236	182	-	The Helpful Animal & the Snake	Animal Tales (1-299)	150-199 Wild Animals & Humans	The helpful animal sees a snake bite his master. He catches a crow, who is the snake’s confederate, & forces the snake to revive his master by sucking out the poison.
237	183	*	The Rabbit Promises to Dance	Animal Tales (1-299)	150-199 Wild Animals & Humans	The rabbit says he will dance when the gate is opened. He escapes.
238	184	-	Half of the Money thrown into the Water	Animal Tales (1-299)	150-199 Wild Animals & Humans	A man makes money by selling milk (wine) mixed with water. A monkey throws the man’s money alternately into water & on land (ship) because the man sold half water & half milk.
239	185	-	The Nightcap Dealer & the Monkeys	Animal Tales (1-299)	150-199 Wild Animals & Humans	A man who sells nightcaps puts one on & lies down to sleep. Some monkeys steal some of his caps & put them on. When the man wakes up & sees that the monkeys have his nightcaps, he takes his off & throws it in anger down on the ground. The monkeys copy him, so he gets his night-caps back.
